its,pron.它的 
at,prep.在，处于，以 
an,没有该单词的解释 
they,pron.他(她)们，它们 
more,adj.更多的,更 adv.更 
their,adj.他们的，它们的 
his,pron.他的 
will,v.aux.将，愿 n.意志 
which,pron.,adj.哪个，那个 
than,conj.比，除...外 
one,num.,n.一，一个 
would,没有该单词的解释 
or,conj.或者，即，否则 
who,pron.谁 
up,adv.向上，起床 
new,adj.新的，重新的 
been,没有该单词的解释 
may,v.可以，也许，祝愿 
next,adv.下一次，然后 
some,adj.若干，某一 
th,没有该单词的解释 
had,没有该单词的解释 
were,没有该单词的解释 
about,prep.关于，大约 
year,n.年，年度 
can,v.aux.能，会，可以 
such,adj.这样的，如此的 
out,adv.出外，向外，完 
all,adj.所有的 n.一切 
if,conj.如果，虽然,是否 
says,没有该单词的解释 
so,adv.这样，也一样 
when,adv.何时 
government,n.编制，政体，政府 
also,adv.也 
