millions,没有该单词的解释 
wages,没有该单词的解释 
green,adj.绿的，没有经验的 
goes,没有该单词的解释 
mobile,adj.机动的，流动的 
standards,没有该单词的解释 
institutions,没有该单词的解释 
continue,v.继续，连续，依旧 
increased,没有该单词的解释 
body,n.身体，尸体，团体 
step,n.脚步，台阶，步骤 
television,n.电视，电视机 
selling,没有该单词的解释 
rival,n.对手 adj.竞争的 
natural,adj.自然的，通常的 
following,adj.下列的，其次的 
culture,n.文化，养殖 
thinks,没有该单词的解释 
supreme,adj.最高的 
facebook,没有该单词的解释 
department,n.部，部门，系 
southern,adj.南的，南方的 
experience,n.,v.经历，经验 
choice,n.选择，选中的人或物 
seemed,没有该单词的解释 
fiscal,没有该单词的解释 
everything,pron.事事，一切 
progress,n.,v.进步，进展 
person,n.人，人称，身体 
giant,n.巨人 adj.巨大的 
spend,v.花费，消耗 
europes,没有该单词的解释 
measures,没有该单词的解释 
size,n.大小，规模，尺寸 
risks,没有该单词的解释 
