within,34717,65.21,prep.，adv.在...内
front,34737,65.25,n.正面，前线
monetary,34747,65.27,adj.货币的，金融的
north,34757,65.29,n.北，北方
tank,34767,65.31,n.油箱，水箱，坦克
middle,34827,65.42,n.当中
road,34837,65.44,n.道路，路
defence,34857,65.48,n.保卫，防御
find,34877,65.51,v.寻找，找到，发现
decision,34887,65.53,n.决定，决议
per,34897,65.55,prep.每，由，按照
staff,34917,65.59,n.工作人员，棒子
classical,34937,65.63,adj.经典的，古典的
must,34947,65.65,v.必须，准是
independence,34957,65.66,n.独立，自主
discovery,34967,65.68,n.发现，发现物
status,35027,65.8,n.形势，身分
court,35047,65.83,n.法庭，宫廷，球场
return,35057,65.85,v.回归，归还
question,35077,65.89,n.问题，疑问
heir,35117,65.96,n.继承人
regional,35136,66.0,adj.地区的，区域的
therefore,35154,66.03,adv.因而，所以
hold,35163,66.05,v.握住，容纳
democratic,35181,66.08,adj.民主的
result,35208,66.14,n.结果，效果，后果
offer,35226,66.17,v.，n.提供，报盘
role,35235,66.19,n.角色，作用
prediction,35244,66.2,n.预言，预报
explorer,35262,66.24,n.勘探者，探险家
course,35271,66.25,n.过程，路线，课程
federal,35289,66.29,adj.联邦的
information,35307,66.32,n.通知，情报，资料
operation,35334,66.37,n.操作，生效，手术
agreement,35361,66.42,n.一致，协议
land,35370,66.44,n.陆地，土地
try,35388,66.47,v.尝试，审讯
challenge,35397,66.49,n.，v.挑战，质问
process,35406,66.51,n.程序，过程
move,35424,66.54,v.移动，推动，搬家
worth,35433,66.56,n.价值
refugee,35451,66.59,n.难民
fight,35478,66.64,v.打仗，战斗，作斗争
revolution,35496,66.68,n.革命，变革
proportion,35505,66.69,n.比例，部分
conservative,35523,66.73,adj.保守的，稳健的
mobile,35550,66.78,adj.机动的，流动的
similar,35577,66.83,adj.类似的，相象的
recession,35586,66.85,n.衰退
meet,35595,66.86,v.遇到，会见，迎接
