potential,adj.潜在的 n.潜力 
nor,conj.也不，也没 
books,没有该单词的解释 
matter,n.事情，物资，毛病 
cause,n.原因，理由，事业 
announced,没有该单词的解释 
paper,n.纸，报纸，文件 
saudi,没有该单词的解释 
decision,n.决定，决议 
spent,没有该单词的解释 
speech,n.演说，语言能力 
e,没有该单词的解释 
production,n.生产，制造 
partys,没有该单词的解释 
smaller,没有该单词的解释 
un,没有该单词的解释 
republicans,没有该单词的解释 
true,adj.真实的，真正的 
view,n.视域，景色，见解 
light,n.光，灯 adj.明亮的 
al,没有该单词的解释 
citizens,没有该单词的解释 
name,n.姓名，名称 v.命名 
september,n.九月 
attack,v.,n.进攻，侵袭 
tech,没有该单词的解释 
competition,n.竞争，比赛 
loans,没有该单词的解释 
fri,没有该单词的解释 
executive,adj.执行的 n.执行者 
partly,adv.部分地 
deals,没有该单词的解释 
try,v.尝试，审讯 n.尝试 
alone,adj.单独的，仅仅 
reforms,没有该单词的解释 
