put,v.放置，估价，表达 
investment,n.投资(额) 
industry,n.工业，产业，勤奋 
cost,n.成本，费用 v.花费 
making,没有该单词的解释 
voters,没有该单词的解释 
support,v.支持，资助，支援 
labour,没有该单词的解释 
life,n.生活，生命，一生 
rate,n.比率，速度，费率 
v,没有该单词的解释 
however,adv.可是，然而 
price,n.价格，代价 v.定价 
security,n.安全，有价证券 
whether,conj.是否，还是... 
five,num.五 
want,v.想要，通辑 n.缺乏 
four,num.四 
investors,没有该单词的解释 
things,没有该单词的解释 
every,adj.每个，所有的 
why,adv.为什么 
across,prep.横越 adv.横穿 
africa,n.非洲 
during,prep.在...期间 
example,n.例子，榜样 
best,adj.最好的 
rules,没有该单词的解释 
campaign,n.战役，运动 
court,n.法庭，宫廷，球场 
share,n.份，股份 v.分配 
house,n.房子，剧场，家 
young,adj.年轻的 n.青年人 
times,没有该单词的解释 
police,n.警察(局) 
