modern,adj.现代的，时髦的 
weeks,没有该单词的解释 
washington,没有该单词的解释 
boss,n.上司，老板 
quickly,adv.快，迅速地 
test,v.,n.测验，试验 
space,n.空间，太空，空地 
greater,没有该单词的解释 
abroad,adv.国外，海外 
promised,没有该单词的解释 
road,n.道路，路 
arts,没有该单词的解释 
feb,没有该单词的解释 
my,pron.我的 
owned,没有该单词的解释 
july,n.七月 
simply,adv.简单地，仅 
parents,没有该单词的解释 
elsewhere,adv.在别处 
islamic,没有该单词的解释 
language,n.语言 
record,v.记录，录音 n.记录 
living,adj.活着的 n.生计 
suggest,v.建议，暗示 
sector,n.部分，部门 
whom,pron.谁(宾格) 
words,没有该单词的解释 
believe,v.相信，认为 
threat,n.恐吓，威胁 
institute,n.(专科)学院 v.建立 
rest,v.休息 n.休息，休止 
thing,n.东西，事情 
unlikely,adj.未必的，不象的 
tank,n.油箱，水箱，坦克 
chance,n.机会，可能性 
