period,n.时期，句号 
questions,没有该单词的解释 
stand,v.站立，坐落，忍受 
computers,没有该单词的解释 
spread,v.伸开，散布，传播 
round,adj.圆形的adv.在周围 
usually,adv.通常，平常 
hands,没有该单词的解释 
cuts,没有该单词的解释 
wanted,没有该单词的解释 
available,adj.可得到的 
offers,没有该单词的解释 
worked,没有该单词的解释 
reach,v.到达，伸手，够到 
revenues,没有该单词的解释 
giving,没有该单词的解释 
involved,adj.涉及的，复杂的 
sent,没有该单词的解释 
presidents,没有该单词的解释 
paris,n.巴黎 
beijing,没有该单词的解释 
barack,没有该单词的解释 
game,n.游戏，比赛，猎物 
eastern,adj.东的，朝东的 
saw,v.,n.锯 
strategy,n.战略，策略，计谋 
peoples,没有该单词的解释 
august,n.八月 
canada,n.加拿大 
improve,v.改善，提高 
require,v.需要，请求 
ministers,没有该单词的解释 
raised,没有该单词的解释 
italy,n.意大利 
trouble,n.,v.麻烦 
