official,n.官员 adj.官方的 
fund,n.基金，资金，蕴藏 
went,没有该单词的解释 
japan,n.日本 
development,n.进展，发展 
needed,没有该单词的解释 
line,n.行，线条，界线 
car,n.小汽车 
businesses,没有该单词的解释 
science,n.科学，学科 
process,n.程序，过程 v.处理 
refugees,没有该单词的解释 
paid,没有该单词的解释 
turkey,n.火鸡adj.,n.土耳其 
apr,没有该单词的解释 
became,没有该单词的解释 
question,n.问题，疑问 v.询问 
hold,v.握住，容纳 n.控制 
sales,n.销售 adj.出售的 
win,v.赢得，成功 
congress,n.(代表)大会，国会 
study,v.,n.学习，研究 
mar,没有该单词的解释 
rule,n.法规，常规，统治 
thought,n.想法，思想，关怀 
worth,n.价值 adj.值...的 
doing,没有该单词的解释 
common,adj.共同的，普通的 
information,n.通知，情报，资料 
suggests,没有该单词的解释 
places,没有该单词的解释 
rd,没有该单词的解释 
immigration,n.移居入境 
army,n.军队，陆军 
defence,n.保卫，防御 
