front,n.正面，前线 v.面对 
output,n.出产，产量 
seven,num.七 
fighting,没有该单词的解释 
network,n.网络，网状组织 
leaving,没有该单词的解释 
raise,v.举起，提高，唤起 
software,n.软件 
domestic,adj.家里的，国内的 
art,n.艺术，技艺 
shares,没有该单词的解释 
reduce,v.减少，贬为 
deep,adj.深的，深远的 
google,没有该单词的解释 
story,n.故事，小说，经历 
notes,没有该单词的解释 
attacks,没有该单词的解释 
index,n.索引，标志，指数 
lack,v.,n.缺少 
ground,n.地面，场，根据 
wrong,adj.错误的，有毛病的 
muslim,没有该单词的解释 
scale,n.刻度，等级，秤 
bit,n.小片，一点 
debate,v.,n.辩论，讨论 
staff,n.工作人员，棒子 
exports,没有该单词的解释 
thanks,n.感谢 int.谢谢 
whole,adj.全部的 n.全部 
play,v.玩，扮演，演奏 
largely,adv.大部分，基本上 
trading,没有该单词的解释 
tried,没有该单词的解释 
kong,没有该单词的解释 
backed,没有该单词的解释 
