biggest,没有该单词的解释 
chinas,没有该单词的解释 
rather,adv.相当，颇，宁愿 
think,v.想，相信，认为 
rates,没有该单词的解释 
central,adj.中心的，中央的 
day,n.一天，白天 
i,.我 
politics,n.政治学，政治活动 
found,v.创办，使有根据 
east,adj.东方的 n.东方 
likely,adj.可信的adv.很可能 
number,n.数字，若干，号码 
markets,没有该单词的解释 
small,adj.小的，不重要的 
company,n.公司，同伴 
ago,adv....以前 
least,adj.最少的 
almost,adv.几乎，差不多 
social,adj.社会的，社会性的 
must,v.必须，准是 n.必须 
according,adj.按照，据...说 
set,v.放，指定 n.全套 
each,adj.,adv.名，每个 
others,没有该单词的解释 
come,v.来到，出现，发生 
vote,n.投票(权)，得票数 
interest,n.兴趣，利息，利益 
international,adj.国际的 
while,n.一会儿 conj.当..时 
workers,没有该单词的解释 
low,adj.低的，低廉的 
north,n.北，北方 adj.北的 
run,v.跑，竞选，行驶 
prime,adj.首要的，第一的 
