the,3317,6.18,(定冠词)那，这
of,1588,9.13,prep..的(表示领属等)
to,1410,11.76,prep.向，到
a,1305,14.19
in,1274,16.56,prep.在...内，穿戴
and,1159,18.72,conj.和，与，而
is,621,19.87
that,520,20.84,"adj.那,那个"
for,505,21.78,prep.给，作...用的
by,423,22.57,prep.在...旁边，按照
on,380,23.28,prep.在...上，关于
it,379,23.98,pron.它
as,375,24.68,adv.一样
from,350,25.33,prep.自，从...来
are,325,25.94
was,305,26.5
with,277,27.02,prep.同...一起，用
has,272,27.53
have,269,28.03,v.有，不得不，拿
but,259,28.51,prep.但是，除了
be,248,28.97,v.是，存在
their,222,29.38,adj.他们的，它们的
more,213,29.78,"adj.更多的,更"
at,211,30.17,prep.在，处于，以
an,203,30.55
mr,201,30.92
not,200,31.3,adv.不
this,194,31.66,"adj.,pron.这，这个"
its,184,32.0,pron.它的
will,184,32.34,v.aux.将，愿
which,180,32.68,"pron.,adj.哪个，那个"
than,179,33.01,conj.比，除...外
they,163,33.32,pron.他(她)们，它们
he,155,33.6,pron.他
new,148,33.88,adj.新的，重新的
his,147,34.15,pron.他的
one,145,34.42,"num.,n.一，一个"
next,142,34.69,adv.下一次，然后
or,136,34.94,conj.或者，即，否则
who,132,35.19,pron.谁
were,129,35.43
articles,127,35.66
would,127,35.9
sections,126,36.13
up,113,36.34,adv.向上，起床
some,109,36.55,adj.若干，某一
had,109,36.75
been,108,36.95
tax,103,37.14,n.税
may,100,37.33,v.可以，也许，祝愿
two,100,37.52,num.二
there,97,37.7,adv.那里，到那里
government,95,37.87,n.编制，政体，政府
previous,94,38.05,adj.早先的，先前的
most,93,38.22,adj.最多的
them,90,38.39,pron.他(她)们，它们
other,90,38.56,adj.其他的，别的
year,87,38.72,n.年，年度
first,86,38.88,adj.第一的
no,85,39.04,"adv.不,毫不"
such,85,39.19,adj.这样的，如此的
also,82,39.35,adv.也
so,82,39.5,adv.这样，也一样
can,82,39.65,v.aux.能，会，可以
when,81,39.8,adv.何时
over,81,39.95,prep.在...上方，越过
into,79,40.1,prep.到...里面，..成
if,78,40.25,"conj.如果，虽然,是否"
people,77,40.39,n.人们，人民，人员
all,77,40.53,adj.所有的
out,77,40.68,adv.出外，向外，完
says,75,40.82
article,75,40.96,n.文章，物品，冠词
after,74,41.09,prep.在...后
about,73,41.23,prep.关于，大约
years,71,41.36
many,69,41.49,adj.许多的
world,69,41.62,n.世界，...界，世间
yet,69,41.75,adv.仍然，还，尚
war,69,41.88,n.战争，斗争
only,68,42.0,adj.唯一的
now,67,42.13,adv.n.现在
economic,65,42.25,adj.经济的，经济学的
her,64,42.37,pron.她的，她(宾格)
china,64,42.49,n.瓷器，陶瓷
jan,63,42.6
calibre,63,42.72
print,63,42.84,v.印刷，出版
even,63,42.96,adj.平坦的，均匀的
nd,63,43.07
edition,62,43.19,n.片(本)
downloaded,62,43.3
just,61,43.42,adv.只，刚才
between,60,43.53,prep.在两者之间
th,60,43.64
still,59,43.75,adj.静止的
time,58,43.86,n.时间，时候，次数
chinese,56,43.96,"adj.,n.中国的"
could,56,44.07
december,55,44.17,n.十二月
business,55,44.27,n.行业，买卖，商号
what,54,44.37,pron.什么
much,54,44.47,adj.许多的
political,54,44.57,adj.政治的
inflation,53,44.67,n.充气，通货膨胀
markets,52,44.77
since,52,44.87,prep.自从
america,52,44.96,n.美国，美洲
police,52,45.06,n.警察(局)
three,52,45.16,num.三
like,51,45.25,v.喜欢
taxes,50,45.34
back,50,45.44,n.背
she,50,45.53,pron.她
though,50,45.62,conj.虽然，可是
economy,50,45.72,n.经济，节约
countries,50,45.81
those,49,45.9,"pron.,adj.那些"
should,49,45.99,v.应该，会
rates,49,46.08
firms,49,46.17
down,48,46.26,adv.向下，下降
before,47,46.35,prep.在...前面
east,47,46.44,adj.东方的
rate,47,46.53,n.比率，速度，费率
american,47,46.61,adj.美国的
make,47,46.7,v.做，制造
capital,46,46.79,n.首都，资本
big,46,46.87,adj.大的，重大的
under,46,46.96,prep.在...下面
local,45,47.04,adj.地方的，当地的
being,45,47.13,n.生物，存在
state,44,47.21,n.状态，国家，州
these,44,47.29,pron.这些
see,44,47.37,v.看见，明白，查看
against,44,47.45,prep.反对，对着
less,43,47.53,adj.更少的
high,43,47.61,adj.高的，高度的
both,43,47.69,"pron.,adj.双方，两"
off,43,47.77,adv....去
growth,42,47.85,n.增长，发展，生长
because,42,47.93,conj.因为，由于
party,42,48.01,n.聚会，政党，一方
past,41,48.08,adj.过去的
way,41,48.16,n.方法，路，方向
around,41,48.24,adv.在周围，大约
governments,41,48.31
far,41,48.39,adj.遥远的
public,41,48.47,adj.公众的，公共的
made,41,48.54
s,41,48.62
too,41,48.69,adv.也，非常
president,40,48.77,n.总统，总经理，校长
where,40,48.84,adv.哪里
central,39,48.92,adj.中心的，中央的
south,39,48.99,"n.南,南方"
do,39,49.06,v.做，干，足够，制作
m,39,49.13
another,39,49.21,"pron.,prep.另一个"
ms,39,49.28
british,39,49.35,adj.英国的，英属的
then,38,49.42,adv.当时，然后，那么
investment,38,49.49,n.投资(额)
states,38,49.56
prices,38,49.64
well,38,49.71,n.井
long,38,49.78,adj.长的
least,38,49.85,adj.最少的
billion,37,49.92,n.十亿
social,37,49.99,adj.社会的，社会性的
low,37,50.05,adj.低的，低廉的
foreign,36,50.12,adj.外国的，对外的
country,35,50.19,n.国家，乡间，故乡
might,35,50.25,v.或许，可以
spending,35,50.32
through,35,50.38,prep.通过，借助
recent,35,50.45,adj.近来的，新近的
university,35,50.51,n.大学
said,35,50.58,adj.上述的，该
forces,34,50.64
global,34,50.7,adj.全世界的，总的
how,34,50.77,adv.如何，多么，怎样
end,34,50.83,n.结尾
brazils,34,50.89
months,33,50.96
oil,33,51.02,n.油，石油
americas,33,51.08
middle,33,51.14,n.当中
hard,33,51.2,adj.硬的
europe,32,51.26,n.欧洲
market,32,51.32,n.市场，销路
likely,31,51.38,adj.可信的adv.很可能
history,31,51.44,n.历史
work,31,51.49,n.劳动，工作，作品
interest,31,51.55,n.兴趣，利息，利益
companies,31,51.61
income,31,51.67,n.收入，所得
rather,31,51.72,adv.相当，颇，宁愿
gdp,31,51.78
cost,31,51.84,n.成本，费用
without,30,51.9,prep.没有，在...外部
brazil,30,51.95,n.巴西
does,30,52.01
few,30,52.06,adj.少的
bank,30,52.12,n.岸，银行
same,30,52.17,adj.同样的
term,30,52.23,n.期限，学期，术语
republican,30,52.29,"n.,adj.共和(派)的"
help,30,52.34,"v.,n.帮助，有助于"
five,30,52.4,num.五
often,30,52.45,adv.经常，常常
known,30,52.51
little,30,52.57,adj.小的，一点，少的
supply,29,52.62,v.供应，供给
national,29,52.67,adj.民族的，国家的
christians,29,52.73
every,29,52.78,adj.每个，所有的
system,29,52.84,n.系统，体制，制度
during,29,52.89,prep.在...期间
chinas,28,52.94
right,28,52.99,adj.正确的，右的
left,28,53.05,adj.左的
law,28,53.1,n.法律，定律
rich,28,53.15,adj.富的，富饶的
european,28,53.2,"n.,adj.欧洲人(的)"
put,28,53.25,v.放置，估价，表达
according,28,53.31,adj.按照，据...说
any,28,53.36,adj.任何，一些
among,27,53.41,prep.在...之中
debt,27,53.46,n.债，债务
whose,27,53.51,pron.谁的
investors,27,53.56
side,27,53.61,n.边，面，侧面，一方
russian,27,53.66,"n.,adj.俄国(人)的"
school,27,53.71,n.学校，上学，学系
plans,26,53.76
women,26,53.81
free,26,53.86,adj.自由的，空闲的
better,26,53.9,adj.更好的
great,26,53.95,adj.大的，伟大的
already,26,54.0
making,26,54.05
leaders,26,54.1
good,26,54.15,adj.好的，善良的
firm,26,54.19,adj.坚固的
you,26,54.24,pron.你，你们
power,26,54.29,n.力，动力，权力
get,26,54.34,v.获得，记住，到达
el,26,54.39
japan,25,54.43,n.日本
take,25,54.48,v.拿，带，吃，乘
election,25,54.53,n.选举
him,25,54.57,pron.他(宾格)
trade,25,54.62,n.贸易，交换
minister,25,54.67,n.教士，部长，大臣
part,25,54.71,n.部分，零件，角色
russia,25,54.76,n.俄罗斯，俄语
old,25,54.81,adj.老的，...岁的
trump,25,54.85
own,25,54.9,adj.自己的
pay,25,54.95,v.支付
politics,24,54.99,n.政治学，政治活动
western,24,55.04,adj.西的，西方的
plan,24,55.08,"n.计划,平面图"
policy,24,55.13,n.政策，方针，保险单
best,24,55.17,adj.最好的
whether,24,55.21,conj.是否，还是...
set,24,55.26,v.放，指定
across,24,55.3,prep.横越
while,24,55.35,n.一会儿
visas,24,55.39
britain,24,55.44,n.不列颠，英国
cuts,24,55.48
emerging,24,55.53
visa,24,55.57,n.签证
demand,23,55.61,"v.,n.要求，需求"
last,23,55.66,adj.最后的
keep,23,55.7,v.保持，保留，防止
money,23,55.74,n.金钱，货币，财富
future,23,55.79,n.将来，前途
need,23,55.83,n.需要，贫困
higher,23,55.87
say,22,55.91,v.说
congress,22,55.95,n.(代表)大会，国会
different,22,55.99,adj.不同的，各种
why,22,56.04,adv.为什么
north,22,56.08,n.北，北方
nearly,22,56.12,adv.几乎，差不多
start,22,56.16,v.开始，着手，发动
home,22,56.2,n.家，故乡
found,22,56.24,v.创办，使有根据
financial,22,56.28,adj.金融的，财政的
late,22,56.32,adj.迟到的，晚的
india,22,56.36,n.印度
children,22,56.4
group,21,56.44,n.群，组，团体
recently,21,56.48,adv.近来，最近
means,21,56.52,n.手段，财力
go,21,56.56,v.去，进行，打算
increased,21,56.6
once,21,56.64,adv.一度，一次
security,21,56.68,n.安全，有价证券
used,21,56.72
early,21,56.76,adj.早的，初期的
countrys,21,56.8
towards,21,56.83
think,21,56.87,v.想，相信，认为
rights,21,56.91
united,21,56.95,states
second,21,56.99,num.第二
day,21,57.03,n.一天，白天
crisis,20,57.07,n.危险，危险期
today,20,57.1,"adv.今天,现在"
decade,20,57.14,n.十年
policies,20,57.18
use,20,57.22,v.使用
risk,20,57.25,"n.,v.冒险，风险"
army,20,57.29,n.军队，陆军
reform,20,57.33,"v.,n.改革，改造"
including,20,57.36
cut,20,57.4,v.割，切，削减，切断
half,20,57.44,n.一半
sex,20,57.48,n.性，性别
however,20,57.51,adv.可是，然而
i,20,57.55,.我
lower,20,57.59,v.降低，减弱
very,20,57.63,adv.很，非常
price,20,57.66,n.价格，代价
human,20,57.7,adj.人的，人类的
company,20,57.74,n.公司，同伴
week,19,57.77,n.星期，周，工作周
city,19,57.81,n.城市
possible,19,57.84,adj.可能的
called,19,57.88
lost,19,57.91,adj.失去的
christmas,19,57.95,n.圣诞节
place,19,57.98,n.地方，位置
top,19,58.02,n.顶，盖子
want,19,58.06,v.想要，通辑
internet,19,58.09
finance,19,58.13,n.金融
each,19,58.16,"adj.,adv.名，每个"
relations,19,58.2
northern,19,58.23,adj.北方的，北部的
number,19,58.27,n.数字，若干，号码
although,18,58.3,conj.虽然
points,18,58.33
deal,18,58.37,v.处理，交易
change,18,58.4,n.变化，零钱
single,18,58.44,adj.单个的，单身的
economies,18,58.47
we,18,58.5,pron.我们
short,18,58.54,adj.短的，矮的
research,18,58.57,"v.,n.调查，研究"
groups,18,58.6
fall,18,58.64,v.落下，跌倒
did,18,58.67
budget,18,58.7,n.预算
biggest,18,58.74
christian,18,58.77,adj.基督教的n.基督徒
problem,18,58.8,n.课题，难题，问题
rousseff,18,58.84
house,18,58.87,n.房子，剧场，家
boost,18,58.9,v.抬高，促进
international,18,58.94,adj.国际的
