middle,n.当中 adj.中部的 
quantum,没有该单词的解释 
seems,没有该单词的解释 
never,adv.从不，永不，未曾 
point,n.尖，点，分 v.指 
donald,没有该单词的解释 
makes,没有该单词的解释 
research,v.,n.调查，研究 
union,n.联合，联盟，联合会 
very,adv.很，非常 
rich,adj.富的，富饶的 
poor,adj.穷的，差的 
centre,没有该单词的解释 
united,states   n.美国，合众国 
growing,没有该单词的解释 
until,prep.,conj.到...为止 
working,没有该单词的解释 
ones,没有该单词的解释 
gdp,没有该单词的解释 
higher,没有该单词的解释 
within,prep.,adv.在...内 
again,adv.再，又 
means,n.手段，财力 
spending,没有该单词的解释 
rise,v.起立，晋级，增长 
perhaps,adv.也许，多半 
members,没有该单词的解释 
several,adj.几个 
leader,n.领导，领袖 
itself,pron.它自己 
appeared,没有该单词的解释 
anti,没有该单词的解释 
west,n.西方 adj.向西的 
recently,adv.近来，最近 
energy,n.精力，活力，能量 
