general,adj.一般的，总的 
cut,v.割，切，削减，切断 
took,没有该单词的解释 
instead,adv.代替，而是 
school,n.学校，上学，学系 
our,pron.我们的 
led,没有该单词的解释 
demand,v.,n.要求，需求 
later,adv.更晚，以后，过后 
came,没有该单词的解释 
great,adj.大的，伟大的 
risk,n.,v.冒险，风险 
real,adj.真的，纯粹的 
nearly,adv.几乎，差不多 
although,conj.虽然 
themselves,pron.他们、它们自己 
finance,n.金融 v.资助 
start,v.开始，着手，发动 
average,adj.平均的 n.平均数 
whose,pron.谁的 
turn,v.转向，旋转 n.轮流 
idea,n.思想，主意，打算 
human,adj.人的，人类的 
job,n.工作，活儿，差使 
men,没有该单词的解释 
economics,n.经济学 
white,adj.白的 n.白色,蛋清 
look,v.看，看上去 n.外表 
officials,没有该单词的解释 
head,n.头，领导 v.率领 
open,adj.开的 v.打开 
report,v.报告，报导，报道 
using,没有该单词的解释 
budget,n.预算 
wants,没有该单词的解释 
