americans,没有该单词的解释 
top,n.顶，盖子 v.高于 
force,n.力，力量 v.强迫 
book,n.书 v.预订(票) 
population,n.人口 
january,n.一月 
able,adj.有能力的，能干的 
cash,n.现金 v.兑现 
clear,adj.清楚的，明确的 
behind,prep.在...后面 
land,n.陆地，土地 v.着陆 
reason,n.原因，理由 v.推论 
clinton,没有该单词的解释 
black,adj.黑的 n.黑色 
co,没有该单词的解释 
move,v.移动，推动，搬家 
trying,没有该单词的解释 
towards,没有该单词的解释 
decade,n.十年 
probably,adv.或许，大概 
headline,n.通栏标题 
parties,没有该单词的解释 
lost,adj.失去的 
asia,n.亚洲 
military,adj.军事的，好斗的 
seem,v.好象，似乎 
taking,没有该单词的解释 
legal,adj.合法的，法律的 
taken,没有该单词的解释 
held,没有该单词的解释 
full,adj.满的，完全的 
schools,没有该单词的解释 
current,adj.现令的 n.流 
remain,n.依旧的，剩余，逗留 
st,没有该单词的解释 
