works,n.工厂 
brought,没有该单词的解释 
aid,n.,v.援助，救护 
dollar,n.元，美元 
stay,v.停留，暂住，保持 
de,没有该单词的解释 
asked,没有该单词的解释 
takes,没有该单词的解释 
management,n.管理(人员)，经营 
researchers,没有该单词的解释 
particular,adj.特殊的 n.项目 
town,n.市镇，城市，闹市 
independence,n.独立，自主 
crime,n.罪，罪行 
project,n.计划 v.设计，射出 
commission,n.,v.委托，委任 
digital,adj.数字的 
hit,v.打，碰，打击 
fight,v.打仗，战斗，作斗争 
annual,adj.每年的，年度的 
cases,没有该单词的解释 
indias,没有该单词的解释 
violence,n.猛烈，暴力，暴行 
fallen,没有该单词的解释 
difficult,adj.困难的 
gas,n.气体，煤气，汽油 
feel,v.感到，摸，意识到 
putin,没有该单词的解释 
drugs,没有该单词的解释 
mexico,n.墨西哥 
press,v.压，榨，按 n.印刷 
kind,n.种类 adj.仁慈的 
allowed,没有该单词的解释 
authorities,没有该单词的解释 
ahead,adv.在...前 
