chief,adj.首席的，首要的 
march,n.,v.行进，行军 
costs,没有该单词的解释 
media,没有该单词的解释 
care,n.注意，小心 v.关心 
man,n.人，男人，人类 
plans,没有该单词的解释 
politicians,没有该单词的解释 
economist,没有该单词的解释 
rights,没有该单词的解释 
online,没有该单词的解释 
leave,v.出发，离开 n.休假 
western,adj.西的，西方的 
exchange,v.交换，兑换 n.交易 
education,n.教育，训练 
single,adj.单个的，单身的 
cities,没有该单词的解释 
give,没有该单词的解释 
having,没有该单词的解释 
further,adv.更远，进一步 
short,adj.短的，矮的 
french,adj.法国的 n.法语 
forces,没有该单词的解释 
republican,n.,adj.共和(派)的 
groups,没有该单词的解释 
longer,没有该单词的解释 
show,v.显示，表明 n.演出 
going,没有该单词的解释 
family,n.家庭，家属 
today,adv.今天,现在 n.今日 
germany,n.德国 
india,n.印度 
building,n.建筑物，大楼 
important,adj.重要的，重大的 
water,n.水 v.浇水，垂涎 
