through,prep.通过，借助 
companies,没有该单词的解释 
money,n.金钱，货币，财富 
financial,adj.金融的，财政的 
election,n.选举 
high,adj.高的，高度的 
few,adj.少的 n.少数 
better,adj.更好的 adv.较好 
americas,没有该单词的解释 
s,没有该单词的解释 
get,v.获得，记住，到达 
part,n.部分，零件，角色 
minister,n.教士，部长，大臣 
war,n.战争，斗争 
firm,adj.坚固的 n.商号 
often,adv.经常，常常 
does,没有该单词的解释 
europe,n.欧洲 
we,pron.我们 
past,adj.过去的 n.过去 
system,n.系统，体制，制度 
good,adj.好的，善良的 
right,adj.正确的，右的 
billion,n.十亿 
become,v.变成 
little,adj.小的，一点，少的 
same,adj.同样的 
brexit,没有该单词的解释 
second,num.第二 n.第二，秒 
used,没有该单词的解释 
ms,没有该单词的解释 
oil,n.油，石油 
old,adj.老的，...岁的 
did,没有该单词的解释 
week,n.星期，周，工作周 
