help,v.,n.帮助，有助于 
tax,n.税 v.征税 
free,adj.自由的，空闲的 
growth,n.增长，发展，生长 
technology,n.技术，工艺 
capital,n.首都，资本 
use,v.使用 n.用途，利用 
university,n.大学 
among,prep.在...之中 
hard,adj.硬的 adv.努力 
data,n.(复数)资料，数据 
global,adj.全世界的，总的 
policy,n.政策，方针，保险单 
governments,没有该单词的解释 
say,v.说 n.发言(权) 
city,n.城市 
end,n.结尾 v.终止，结束 
already,没有该单词的解释 
change,n.变化，零钱 v.改变 
including,没有该单词的解释 
former,adj.以前的，前者 
local,adj.地方的，当地的 
law,n.法律，定律 
recent,adj.近来的，新近的 
home,n.家，故乡 adv.回家 
need,n.需要，贫困 v.需要 
without,prep.没有，在...外部 
british,adj.英国的，英属的 
half,n.一半 adv.一半 
called,没有该单词的解释 
go,v.去，进行，打算 
left,adj.左的 adv.向左 
group,n.群，组，团体 
pay,v.支付 n.工资 
once,adv.一度，一次 
