age,n.年龄，时代 
elections,没有该单词的解释 
york,没有该单词的解释 
post,n.柱，职位 v.邮寄 
return,v.回归，归还 n.归来 
expected,没有该单词的解释 
reform,v.,n.改革，改造 
offer,v.,n.提供，报盘 
border,n.国界，边境 
corruption,n.腐败，腐化 
getting,没有该单词的解释 
internet,没有该单词的解释 
soon,adv.不久，很快，早 
ways,没有该单词的解释 
fact,n.事实，真相 
self,n.自己，自身，品质 
began,没有该单词的解释 
points,没有该单词的解释 
effect,n.后果，效力 v.导致 
dr,没有该单词的解释 
together,adv.共同，一起，同时 
popular,adj.受欢迎的 
food,n.食物，食粮 
obama,没有该单词的解释 
hope,v.,n.希望，愿望 
news,n.新闻，消息 
know,n.知道，认识，懂 
referendum,没有该单词的解释 
won,没有该单词的解释 
possible,adj.可能的 
late,adj.迟到的，晚的 
especially,adv.特别地，专门地 
largest,没有该单词的解释 
parliament,n.议会，国会 
fall,v.落下，跌倒 n.瀑布 
