products,没有该单词的解释 
credit,n.信誉，信用 v.相信 
level,n.水平，级 v.弄平 
migrants,没有该单词的解释 
pressure,n.压力，繁忙，紧迫 
jan,没有该单词的解释 
conservative,adj.保守的，稳健的 
syria,没有该单词的解释 
rising,没有该单词的解释 
property,n.财产，地产，特性 
particularly,adv.特别地 
november,n.十一月 
agreement,n.一致，协议 
either,adj.二者之一 adv.也 
model,n.模范，模型，模特儿 
bigger,没有该单词的解释 
assets,没有该单词的解释 
fear,n.,v.害怕，担忧 
provide,v.供给，提供，准备 
currency,n.通货，货币 
call,v.叫，称为，打电话 
claims,没有该单词的解释 
movement,n.活动，运动，动作 
easy,adj.容易的，轻松的 
mean,v.打算，意指 
drug,n.药物，麻醉剂 
shows,没有该单词的解释 
allow,v.允许，许可 
team,n.小队 v.协同工作 
majority,n.多数，过半数 
let,v.让，使 
running,adj.连续的 n.经营 
special,adj.特别的，专门的 
huge,adj.庞大的，巨大的 
act,n.行为，法令 v.表演 
