cannot,没有该单词的解释 
plan,n.计划,平面图 v.打算 
order,n.命令，订货，次序 
value,n.价值 v.评价，估价 
outside,n.外部 adv.在外面 
bad,adj.坏的，低劣的 
nuclear,adj.核的，原子核的 
century,n.世纪 
decades,没有该单词的解释 
something,pron.某事，某物 
seen,没有该单词的解释 
ten,num.十 
federal,adj.联邦的 
despite,prep.不管，任凭 
france,n.法国 
face,n.脸，正面 v.面对 
opposition,n.敌对，反抗 
russian,n.,adj.俄国(人)的 
income,n.收入，所得 
non,没有该单词的解释 
six,num.六 
democratic,adj.民主的 
debt,n.债，债务 
problems,没有该单词的解释 
your,pron.你的，你们的 
service,n.服务，公共设施 
hours,没有该单词的解释 
chart,n.图表 v.制定计划 
result,n.结果，效果，后果 
done,没有该单词的解释 
air,n.空气，气派 
buy,v.买，购买 
close,down   n.倒闭 
presidential,adj.总统的 
similar,adj.类似的，相象的 
