john,没有该单词的解释 
red,adj.红的 n.红色 
users,没有该单词的解释 
australia,n.澳大利亚 
david,没有该单词的解释 
meanwhile,adv.,n.在这期间 
october,n.十月 
fewer,没有该单词的解释 
response,v.答复，反应，响应 
lives,没有该单词的解释 
society,n.社会，协会，社交界 
supporters,没有该单词的解释 
claim,v.要求，索赔，声称 
industrial,adj.工业的 
talks,没有该单词的解释 
england,n.英格兰，英国 
computer,n.计算机 
revolution,n.革命，变革 
regime,n.政体，制度 
street,n.大街 
really,adv.真正地，果然 
hopes,没有该单词的解释 
agency,n.代理，代理处 
worry,v.,v.烦恼，担心 
economists,没有该单词的解释 
northern,adj.北方的，北部的 
powerful,adj.有力的，强的 
polls,没有该单词的解释 
nd,没有该单词的解释 
victory,n.胜利 
coming,没有该单词的解释 
include,v.包括 
died,没有该单词的解释 
fast,adj.快的 adv.快 
iran,没有该单词的解释 
