himself,pron.他自己 
african,adj.非洲的 n.非洲人 
democracy,n.民主，民主政体 
death,n.死，死亡 
stop,v.停止，终止 n.停止 
along,prep.沿着 adv.一起 
live,v.居住,生存 adj.活的 
systems,没有该单词的解释 
dont,没有该单词的解释 
form,n.形状，类型，表格 
students,没有该单词的解释 
build,v.建造，建设 
helped,没有该单词的解释 
indeed,adv.的确，实际上 
april,n.四月 
areas,没有该单词的解释 
comes,没有该单词的解释 
customers,没有该单词的解释 
cars,没有该单词的解释 
february,n.二月 
remains,n.剩余，遗迹，遗体 
side,n.边，面，侧面，一方 
mostly,adv.主要地，大多 
funds,没有该单词的解释 
earlier,没有该单词的解释 
corporate,n.有限公司 
sea,n.海，海洋 
published,没有该单词的解释 
compared,没有该单词的解释 
class,n.阶级，种类，班级 
started,没有该单词的解释 
laws,没有该单词的解释 
region,n.地区，地域，地带 
parts,没有该单词的解释 
quarter,n.四分之一，一刻钟 
