december,n.十二月 
strong,adj.强壮的，强烈的 
lead,v.引导，领先，率领 
near,adv.近 adj.近的 
inflation,n.充气，通货膨胀 
built,没有该单词的解释 
hand,n.手，人手，指针 
per,prep.每，由，按照 
access,n.接近，入口 
latest,没有该单词的解释 
policies,没有该单词的解释 
role,n.角色，作用 
evidence,n.证据，迹象 
xi,没有该单词的解释 
bill,n.帐单，议案，钞票 
nothing,n.没有东西 adv.毫不 
justice,n.公正，正直 
lot,n.许多，地 adv.相当 
success,n.成功 
liberal,adj.思想开放的 
thus,adv.如此，这样，因而 
harder,没有该单词的解释 
hong,没有该单词的解释 
turned,没有该单词的解释 
profits,没有该单词的解释 
peace,n.和平，平静，和约 
sort,n.种类 v.分类，拣 
civil,adj.民用的，民事的 
korea,没有该单词的解释 
benefits,没有该单词的解释 
euro,没有该单词的解释 
sense,n.感官，感觉，见识 
failed,没有该单词的解释 
bring,v.拿来，带来 
results,没有该单词的解释 
