funding,没有该单词的解释 
vast,adj.巨大的，宏大的 
action,n.行为，行动 
due,adj.到期的，预定的 
child,n.孩子，儿童 
music,n.音乐，乐曲 
attention,n.注意，关心 
industries,没有该单词的解释 
tend,v.趋向，照料，投标 
agreed,adj.商定的 
everyone,pron.人人，每人 
forced,没有该单词的解释 
leading,adj.领先的，一流的 
regional,adj.地区的，区域的 
russias,没有该单词的解释 
benefit,n.益处，利益 
reasons,没有该单词的解释 
critics,没有该单词的解释 
meeting,n.会议，集会 
declared,没有该单词的解释 
courts,没有该单词的解释 
housing,没有该单词的解释 
employees,没有该单词的解释 
caused,没有该单词的解释 
religious,adj.宗教的，信教的 
relations,没有该单词的解释 
launched,没有该单词的解释 
expensive,adj.昂贵的，高价的 
hundreds,没有该单词的解释 
avoid,v.避免，逃避 
anything,pron.无论什么 
changed,没有该单词的解释 
lose,v.失去，丢失，输 
farmers,没有该单词的解释 
sign,n.告示，迹象，符号 
