just,adv.只，刚才 
party,n.聚会，政党，一方 
she,pron.她 
trump,没有该单词的解释 
how,adv.如何，多么，怎样 
yet,adv.仍然，还，尚 
still,adj.静止的 adv.仍旧 
see,v.看见，明白，查看 
between,prep.在两者之间 
make,v.做，制造 n.种类 
firms,没有该单词的解释 
downloaded,没有该单词的解释 
calibre,没有该单词的解释 
too,adv.也，非常 
countries,没有该单词的解释 
these,pron.这些 
president,n.总统，总经理，校长 
m,没有该单词的解释 
n,没有该单词的解释 
under,prep.在...下面 
less,adj.更少的 adv.较小 
big,adj.大的，重大的 
because,conj.因为，由于 
long,adj.长的 adv.长久 
menu,n.菜单 
should,v.应该，会 
business,n.行业，买卖，商号 
trade,n.贸易，交换 v.经商 
country,n.国家，乡间，故乡 
where,adv.哪里 
might,v.或许，可以 n.力 
against,prep.反对，对着 
way,n.方法，路，方向 
britain,n.不列颠，英国 
well,n.井 adv.好，充分 
