then,26633,50.03,adv.当时，然后，那么
cost,26664,50.09,n.成本，费用
market,26695,50.14,n.市场，销路
these,26726,50.2,pron.这些
party,26757,50.26,n.聚会，政党，一方
likely,26788,50.32,adj.可信的adv.很可能
interest,26819,50.38,n.兴趣，利息，利益
income,26850,50.44,n.收入，所得
how,26880,50.49,adv.如何，多么，怎样
low,26970,50.66,adj.低的，低廉的
help,27000,50.72,v.，n.帮助，有助于
little,27030,50.77,adj.小的，一点，少的
same,27060,50.83,adj.同样的
often,27090,50.89,adv.经常，常常
term,27120,50.94,n.期限，学期，术语
system,27179,51.05,n.系统，体制，制度
work,27208,51.11,n.劳动，工作，作品
rich,27236,51.16,adj.富的，富饶的
right,27264,51.21,adj.正确的，右的
put,27320,51.32,v.放置，估价，表达
history,27348,51.37,n.历史
left,27404,51.48,adj.左的
i,27431,51.53,.我
whose,27458,51.58,pron.谁的
rather,27539,51.73,adv.相当，颇，宁愿
few,27566,51.78,adj.少的
debt,27592,51.83,n.债，债务
law,27644,51.93,n.法律，定律
central,27670,51.98,adj.中心的，中央的
side,27696,52.02,n.边，面，侧面，一方
get,27722,52.07,v.获得，记住，到达
good,27774,52.17,adj.好的，善良的
without,27800,52.22,prep.没有，在...外部
firm,27852,52.32,adj.坚固的
old,27877,52.36,adj.老的，...岁的
power,27902,52.41,n.力，动力，权力
hen,27927,52.46,n.母鸡
social,27952,52.51,adj.社会的，社会性的
pay,28002,52.6,v.支付
part,28027,52.65,n.部分，零件，角色
every,28052,52.69,adj.每个，所有的
minister,28127,52.83,n.教士，部长，大臣
him,28152,52.88,pron.他(宾格)
supply,28177,52.93,v.供应，供给
own,28202,52.98,adj.自己的
best,28226,53.02,adj.最好的
take,28250,53.07,v.拿，带，吃，乘
plan,28298,53.16,n.计划，平面图
set,28322,53.2,v.放，指定
five,28346,53.25,num.五
better,28418,53.38,adj.更好的
politics,28514,53.56,n.政治学，政治活动
future,28561,53.65,n.将来，前途
visa,28584,53.69,n.签证
you,28607,53.74,pron.你，你们
very,28630,53.78,adv.很，非常
during,28653,53.82,prep.在...期间
keep,28676,53.87,v.保持，保留，防止
need,28699,53.91,n.需要，贫困
yet,28745,54.0,adv.仍然，还，尚
according,28791,54.08,adj.按照，据...说
among,28814,54.13,prep.在...之中
money,28837,54.17,n.金钱，货币，财富
financial,28882,54.25,adj.金融的，财政的
say,28904,54.29,v.说
hey,28926,54.34,int.嗨
last,28948,54.38,adj.最后的
global,28970,54.42,adj.全世界的，总的
while,29014,54.5,n.一会儿
demand,29080,54.62,v.，n.要求，需求
army,29102,54.67,n.军队，陆军
across,29124,54.71,prep.横越
different,29146,54.75,adj.不同的，各种
late,29168,54.79,adj.迟到的，晚的
election,29212,54.87,n.选举
found,29234,54.91,v.创办，使有根据
means,29319,55.07,n.手段，财力
