race,n.种族，竞赛 v.赛跑 
argues,没有该单词的解释 
gone,没有该单词的解释 
created,没有该单词的解释 
democrats,没有该单词的解释 
gave,没有该单词的解释 
arab,n.阿拉伯 
insurance,n.保险(业)，保障 
easier,没有该单词的解释 
ruling,adj.统治的 
administration,n.行政管理，管理机关 
electricity,n.电 
sold,没有该单词的解释 
eight,num.八 
ideas,没有该单词的解释 
below,adj.,prep.在...下面 
projects,没有该单词的解释 
course,n.过程，路线，课程 
council,n.理事会，委员会 
japanese,n.,adj.日本人(的) 
charge,v.收费，冲向，控告 
member,n.成员，会员 
cheap,adj.便宜的，可鄙的 
influence,n.影响，势力(范围) 
manufacturing,没有该单词的解释 
emerging,没有该单词的解释 
instance,n.例子 
economies,没有该单词的解释 
impact,n.冲击，影响 
candidates,没有该单词的解释 
climate,n.气候 
grow,v.增长，成长，种植 
issue,v.发行,发布 n.发行物 
born,adj.出生的，天生的 
eventually,adv.最终，终于 
