section,n.部分，区域 
before,prep.在...前面 
market,n.市场，销路 
power,n.力，动力，权力 
made,没有该单词的解释 
another,pron.,prep.另一个 
him,pron.他(宾格) 
work,n.劳动，工作，作品 
main,adj.主要的 
political,adj.政治的 
both,pron.,adj.双方，两 
down,adv.向下，下降 
economic,adj.经济的，经济学的 
european,n.,adj.欧洲人(的) 
eu,没有该单词的解释 
then,adv.当时，然后，那么 
economy,n.经济，节约 
any,adj.任何，一些 
you,pron.你，你们 
being,n.生物，存在 
three,num.三 
around,adv.在周围，大约 
off,adv....去 prep.离开 
back,n.背 adj.背后的 
own,adj.自己的 v.拥有 
south,n.南,南方 adj.南方的 
public,adj.公众的，公共的 
states,没有该单词的解释 
bank,n.岸，银行 
though,conj.虽然，可是 
take,v.拿，带，吃，乘 
foreign,adj.外国的，对外的 
far,adj.遥远的 adv.远 
banks,没有该单词的解释 
chinese,adj.,n.中国的 
