not,21215,30.37,adv.不 
its,20888,30.78,pron.它的 
at,20359,31.18,prep.在，处于，以 
an,20334,31.57,没有该单词的解释 
they,20220,31.97,pron.他(她)们，它们 
more,19201,32.34,adj.更多的,更 adv.更 
their,18464,32.70,adj.他们的，它们的 
his,18423,33.06,pron.他的 
will,17123,33.40,v.aux.将，愿 n.意志 
which,15007,33.69,pron.,adj.哪个，那个 
than,14183,33.96,conj.比，除...外 
one,13422,34.23,num.,n.一，一个 
would,12994,34.48,没有该单词的解释 
or,12568,34.72,conj.或者，即，否则 
who,12348,34.97,pron.谁 
up,11739,35.19,adv.向上，起床 
new,11244,35.41,adj.新的，重新的 
been,10714,35.62,没有该单词的解释 
may,10098,35.82,v.可以，也许，祝愿 
next,9826,36.01,adv.下一次，然后 
some,9824,36.20,adj.若干，某一 
th,9817,36.39,没有该单词的解释 
had,9782,36.58,没有该单词的解释 
were,9706,36.77,没有该单词的解释 
about,9551,36.96,prep.关于，大约 
year,9536,37.15,n.年，年度 
can,9154,37.32,v.aux.能，会，可以 
such,9052,37.50,adj.这样的，如此的 
out,9044,37.68,adv.出外，向外，完 
all,8995,37.85,adj.所有的 n.一切 
if,8807,38.02,conj.如果，虽然,是否 
says,8753,38.19,没有该单词的解释 
so,8710,38.36,adv.这样，也一样 
when,8622,38.53,adv.何时 
government,8395,38.70,n.编制，政体，政府 
also,8375,38.86,adv.也 
them,8335,39.02,pron.他(她)们，它们 
most,8313,39.18,adj.最多的 adv.非常 
other,8185,39.34,adj.其他的，别的 
many,8164,39.50,adj.许多的 n.许多 
over,8115,39.66,prep.在...上方，越过 
people,7954,39.82,n.人们，人民，人员 
years,7560,39.96,没有该单词的解释 
article,7490,40.11,n.文章，物品，冠词 
now,7470,40.26,adv.n.现在 conj.既然 
there,7470,40.40,adv.那里，到那里 
into,7310,40.54,prep.到...里面，..成 
only,7143,40.68,adj.唯一的 adv.仅仅 
after,7132,40.82,prep.在...后 
two,7024,40.96,num.二 
no,7007,41.10,adv.不,毫不 adj.没有 
could,6939,41.23,没有该单词的解释 
even,6921,41.37,adj.平坦的，均匀的 
previous,6489,41.49,adj.早先的，先前的 
first,6279,41.61,adj.第一的 adv.首先 
what,6226,41.74,pron.什么 adj.什么的 
articles,6082,41.85,没有该单词的解释 
sections,6001,41.97,没有该单词的解释 
much,5898,42.09,adj.许多的 n.许多 
china,5801,42.20,n.瓷器，陶瓷 
like,5733,42.31,v.喜欢 prep.像 
do,5691,42.42,v.做，干，足够，制作 
america,5689,42.53,n.美国，美洲 
those,5624,42.64,pron.,adj.那些 
time,5610,42.75,n.时间，时候，次数 
print,5559,42.86,v.印刷，出版 n.字体 
her,5521,42.97,pron.她的，她(宾格) 
state,5503,43.08,n.状态，国家，州 
edition,5463,43.18,n.片(本) 
since,5451,43.29,prep.自从 conj.既然 
last,5429,43.39,adj.最后的 adv.上次 
world,5419,43.50,n.世界，...界，世间 
american,5402,43.61,adj.美国的 n.美国人 
just,5273,43.71,adv.只，刚才 
party,5002,43.81,n.聚会，政党，一方 
she,4992,43.90,pron.她 
trump,4990,44.00,没有该单词的解释 
how,4961,44.10,adv.如何，多么，怎样 
yet,4922,44.19,adv.仍然，还，尚 
still,4780,44.29,adj.静止的 adv.仍旧 
see,4734,44.38,v.看见，明白，查看 
between,4722,44.47,prep.在两者之间 
make,4715,44.56,v.做，制造 n.种类 
firms,4694,44.65,没有该单词的解释 
downloaded,4684,44.75,没有该单词的解释 
calibre,4683,44.84,没有该单词的解释 
too,4637,44.93,adv.也，非常 
countries,4626,45.02,没有该单词的解释 
these,4602,45.11,pron.这些 
president,4535,45.20,n.总统，总经理，校长 
m,4497,45.28,没有该单词的解释 
n,4478,45.37,没有该单词的解释 
under,4399,45.46,prep.在...下面 
less,4398,45.54,adj.更少的 adv.较小 
big,4362,45.63,adj.大的，重大的 
because,4308,45.71,conj.因为，由于 
long,4249,45.79,adj.长的 adv.长久 
menu,4224,45.88,n.菜单 
should,4189,45.96,v.应该，会 
business,4134,46.04,n.行业，买卖，商号 
trade,4073,46.12,n.贸易，交换 v.经商 
country,4071,46.20,n.国家，乡间，故乡 
where,4067,46.28,adv.哪里 
might,4022,46.36,v.或许，可以 n.力 
against,4009,46.43,prep.反对，对着 
way,4008,46.51,n.方法，路，方向 
britain,4004,46.59,n.不列颠，英国 
well,3978,46.67,n.井 adv.好，充分 
said,3828,46.74,adj.上述的，该 
section,3810,46.82,n.部分，区域 
before,3804,46.89,prep.在...前面 
market,3787,46.96,n.市场，销路 
power,3759,47.04,n.力，动力，权力 
made,3741,47.11,没有该单词的解释 
another,3703,47.18,pron.,prep.另一个 
him,3699,47.25,pron.他(宾格) 
work,3698,47.33,n.劳动，工作，作品 
main,3690,47.40,adj.主要的 
political,3622,47.47,adj.政治的 
both,3620,47.54,pron.,adj.双方，两 
down,3561,47.61,adv.向下，下降 
economic,3543,47.68,adj.经济的，经济学的 
european,3531,47.75,n.,adj.欧洲人(的) 
eu,3507,47.82,没有该单词的解释 
then,3495,47.88,adv.当时，然后，那么 
economy,3493,47.95,n.经济，节约 
any,3488,48.02,adj.任何，一些 
you,3452,48.09,pron.你，你们 
being,3451,48.15,n.生物，存在 
three,3449,48.22,num.三 
around,3445,48.29,adv.在周围，大约 
off,3432,48.36,adv....去 prep.离开 
back,3371,48.42,n.背 adj.背后的 
own,3359,48.49,adj.自己的 v.拥有 
south,3359,48.55,n.南,南方 adj.南方的 
public,3353,48.62,adj.公众的，公共的 
states,3346,48.68,没有该单词的解释 
bank,3311,48.75,n.岸，银行 
though,3298,48.81,conj.虽然，可是 
take,3181,48.87,v.拿，带，吃，乘 
foreign,3178,48.94,adj.外国的，对外的 
far,3123,49.00,adj.遥远的 adv.远 
banks,3085,49.06,没有该单词的解释 
chinese,3041,49.12,adj.,n.中国的 
national,3039,49.18,adj.民族的，国家的 
through,3027,49.23,prep.通过，借助 
companies,3019,49.29,没有该单词的解释 
money,3015,49.35,n.金钱，货币，财富 
financial,3010,49.41,adj.金融的，财政的 
election,2998,49.47,n.选举 
high,2994,49.53,adj.高的，高度的 
few,2984,49.59,adj.少的 n.少数 
better,2966,49.64,adj.更好的 adv.较好 
americas,2954,49.70,没有该单词的解释 
s,2913,49.76,没有该单词的解释 
get,2912,49.81,v.获得，记住，到达 
part,2902,49.87,n.部分，零件，角色 
minister,2901,49.93,n.教士，部长，大臣 
war,2865,49.98,n.战争，斗争 
firm,2825,50.04,adj.坚固的 n.商号 
often,2794,50.09,adv.经常，常常 
does,2782,50.15,没有该单词的解释 
europe,2760,50.20,n.欧洲 
we,2754,50.25,pron.我们 
past,2735,50.31,adj.过去的 n.过去 
system,2728,50.36,n.系统，体制，制度 
good,2687,50.41,adj.好的，善良的 
right,2674,50.47,adj.正确的，右的 
billion,2656,50.52,n.十亿 
