most,adj.最多的 adv.非常 
other,adj.其他的，别的 
many,adj.许多的 n.许多 
over,prep.在...上方，越过 
people,n.人们，人民，人员 
years,没有该单词的解释 
article,n.文章，物品，冠词 
now,adv.n.现在 conj.既然 
there,adv.那里，到那里 
into,prep.到...里面，..成 
only,adj.唯一的 adv.仅仅 
after,prep.在...后 
two,num.二 
no,adv.不,毫不 adj.没有 
could,没有该单词的解释 
even,adj.平坦的，均匀的 
previous,adj.早先的，先前的 
first,adj.第一的 adv.首先 
what,pron.什么 adj.什么的 
articles,没有该单词的解释 
sections,没有该单词的解释 
much,adj.许多的 n.许多 
china,n.瓷器，陶瓷 
like,v.喜欢 prep.像 
do,v.做，干，足够，制作 
america,n.美国，美洲 
those,pron.,adj.那些 
time,n.时间，时候，次数 
print,v.印刷，出版 n.字体 
her,pron.她的，她(宾格) 
state,n.状态，国家，州 
edition,n.片(本) 
since,prep.自从 conj.既然 
last,adj.最后的 adv.上次 
world,n.世界，...界，世间 
